base_id,condition,label,hop_depth,error_type,peak_entropy,mean_entropy,early_entropy,min_confidence,mean_vocab_gap,logprob_uncertainty,hedged,hedge_count,overconfident,overconf_count,verbalized_conf,is_absurd,final_correct_clean,final_correct_error,final_degraded,prompt_len,n_tokens_gen,generated_text
planning_budget_0002,clean,0,4,,,,,0.300048828125,0.6824815625494177,0.24859306353592195,False,0,False,0,,True,False,False,False,132,44,"Answer: Since the requested amount (250) is more than the max limit per dept (200), only 200 is allocated to HR. Remaining budget: 350 - 200 = 150.assistant

"
planning_budget_0002,error_standard,1,4,constraint_violation,,,,0.300048828125,0.6824815625494177,0.24859306353592195,False,0,False,0,,True,False,False,False,132,44,"Answer: Since the requested amount (250) is more than the max limit per dept (200), only 200 is allocated to HR. Remaining budget: 350 - 200 = 150.assistant

"
planning_budget_0002,error_verbalized,1,4,constraint_violation,,,,0.263427734375,0.5925665944814682,0.35863112302698646,False,0,False,0,,False,False,False,False,188,24,"Answer: Since the requested amount (250) exceeds the maximum limit (200), allocate the maximum limit of 200.
"
2hop_fractions_0039,clean,0,2,,,,,0.4833984375,0.8620124878706755,0.09799880734130197,False,0,False,0,,False,False,False,False,131,27,"To find the fraction of the biscuit that remains, we need to subtract the number of slices eaten from the total number of slices.

"
2hop_fractions_0039,error_standard,1,2,wrong_percentage_base,,,,0.43408203125,0.8159084767103195,0.1303450866244815,False,0,False,0,,False,False,False,False,131,28,"To find the fraction of the biscuit that remains, we need to subtract the total number of slices eaten from the total number of slices.

"
2hop_fractions_0039,error_verbalized,1,2,wrong_percentage_base,,,,0.156005859375,0.618398442864418,0.4171603272933192,False,0,False,0,,True,False,False,False,187,200,"Answer: Since 6 slices were eaten (60/16 = 3.75, but we can't eat a fraction of a slice, so we round down to 3.75, then multiply by 16 to get 60 slices eaten, then subtract 60 from 16 to get 56 slices remaining, but we can simplify this by dividing 60 by 16 to get 3.75, then subtracting 3.75 from 16/16 to get 12.25/16, then converting 3.75 to a fraction which is 15/4, then subtracting 15/4 from 16/16 to get 1/4 + 12/16, then converting 12/16 to 3/4, then adding 1/4 + 3/4 to get 4/4 - 3/4 to get 1/4, then subtracting 3/4 from 1 to get 1"
2hop_fractions_0032,clean,0,2,,,,,0.4765625,0.8524378194258764,0.10497559559328304,False,0,False,0,,False,False,False,False,128,26,"To find the fraction of the pizza that remains, we need to subtract the number of slices eaten from the total number of slices.

"
2hop_fractions_0032,error_standard,1,2,wrong_unit,,,,0.4951171875,0.7996152838071188,0.13432885593347746,False,0,False,0,,False,False,False,False,128,27,"To find the fraction of the pizza that remains, we need to subtract the total number of slices eaten from the total number of slices.

"
2hop_fractions_0032,error_verbalized,1,2,wrong_unit,,,,0.32568359375,0.5811188467617693,0.40020233433981356,False,0,False,0,,True,False,False,False,184,29,"Answer: Since 9 slices are eaten (90/10 = 9), the remaining slices are 10 - 9 = 1.
"
3hop_multi_stage_geometry_0006,clean,0,3,,,,,0.32470703125,0.7400693893432617,0.19392322575040005,False,0,False,0,,False,False,False,False,151,32,"Answer: Since each tile is 1 m × 1 m, the area covered by the 21 tiles is 21 m².assistant

"
3hop_multi_stage_geometry_0006,error_standard,1,3,wrong_operator,,,,0.37841796875,0.7777811825275421,0.16202157700885345,False,0,False,0,,False,False,False,False,149,30,"Since each tile is 1 m × 1 m, the area covered by the 21 tiles is 21 m².assistant

"
3hop_multi_stage_geometry_0006,error_verbalized,1,3,wrong_operator,,,,0.361328125,0.7608326907668795,0.17684045865355072,False,0,False,0,,False,False,False,False,205,28,"Answer: Since each tile is 1 m × 1 m, the area covered by the 21 tiles is 21 m².
"
4hop_multi_stage_allocation_0017,clean,0,4,,,,,0.31982421875,0.7097595930099487,0.2560840658464429,False,0,False,0,,False,False,False,False,155,19,"To find the amount spent on equipment, we need to calculate 30% of $750.

"
4hop_multi_stage_allocation_0017,error_standard,1,4,wrong_unit,,,,0.3681640625,0.6939605077107748,0.25758161595724005,False,0,False,0,,False,False,False,False,154,21,"To find the amount spent on equipment, we need to calculate 30% of the remainder after salaries.

"
4hop_multi_stage_allocation_0017,error_verbalized,1,4,wrong_unit,,,,0.320068359375,0.5545910596847534,0.45803992565667206,False,0,False,0,,False,False,False,False,210,10,"Answer: $2500 remains after salaries. 
"
3hop_compound_rate_0007,clean,0,3,,,,,0.37890625,0.7923813700675965,0.17307215499365233,False,0,False,0,,False,False,False,False,163,20,"To find the time taken for the second leg, we need to divide the distance by the speed.

"
3hop_compound_rate_0007,error_standard,1,3,wrong_unit,,,,0.31005859375,0.8341228167215983,0.14975979950407173,False,0,False,0,,False,False,False,False,157,21,"To find the time taken for the second leg, we need to divide the distance by the speed. 

"
3hop_compound_rate_0007,error_verbalized,1,3,wrong_unit,,,,0.446533203125,0.7380666971206665,0.2116893574902683,False,0,False,0,,False,False,False,False,213,25,"Answer: 120 / 60 = 2. The second leg takes 2 hours, which is 120 minutes.
"
2hop_fractions_0005,clean,0,2,,,,,0.462158203125,0.8387996598526284,0.11635638008829441,False,0,False,0,,False,False,False,False,131,27,"To find the fraction of the flatbread that remains, we need to subtract the number of slices eaten from the total number of slices.

"
2hop_fractions_0005,error_standard,1,2,off_by_one,,,,0.4658203125,0.8505961298942566,0.10504862086442611,False,0,False,0,,False,False,False,False,131,27,"To find the fraction of the flatbread that remains, we need to subtract the number of slices eaten from the total number of slices.

"
2hop_fractions_0005,error_verbalized,1,2,off_by_one,,,,0.40625,0.6990545229478315,0.25221203511479806,False,0,False,0,,True,False,False,False,187,22,"Answer: Since 3 slices are eaten, the remaining slices are 16 - 3 = 13.
"
4hop_nested_fractions_0019,clean,0,4,,,,,0.256103515625,0.7783248061087074,0.2140545684354374,False,0,False,0,,False,True,True,False,165,41,"Answer: 1600 × 2/3 = 1066.67. Since we can't have a fraction of a widget, we'll round this to 1067.assistant

"
4hop_nested_fractions_0019,error_standard,1,4,wrong_percentage_base,,,,0.304931640625,0.7825380491047371,0.2081739488161901,False,0,False,0,,False,True,True,False,165,41,"Answer: 16000 × 2/3 = 10666.67. Since we can't have a fraction of a widget, we'll round this to 10667.assistant

"
4hop_nested_fractions_0019,error_verbalized,1,4,wrong_percentage_base,,,,0.2900390625,0.7979176205557745,0.17780024692840535,False,0,False,0,,False,True,True,False,221,37,"Answer: 16000 × 2/3 = 10666.67. We'll round this to 10667, since we can't have a fraction of a widget.
"
2hop_rate_distance_0038,clean,0,2,,,,,0.3984375,0.7324099093675613,0.22379777623895114,False,0,False,0,,False,False,False,False,126,20,"Since there are 60 minutes in an hour, we multiply the number of hours by 60:

"
2hop_rate_distance_0038,error_standard,1,2,magnitude_error,,,,0.366943359375,0.830116746822993,0.1370771940868947,False,0,False,0,,False,False,False,False,126,30,"To convert the travel time from hours to minutes, we multiply the number of hours by 60 (since there are 60 minutes in an hour).

"
2hop_rate_distance_0038,error_verbalized,1,2,magnitude_error,,,,0.5361328125,0.8275686888133779,0.12559538561550876,False,0,False,0,,False,False,False,False,182,17,"Answer: 30 hours * 60 minutes/hour = 1800 minutes
"
3hop_percentage_chain_0047,clean,0,3,,,,,0.396728515625,0.7786300902565321,0.15743174463595289,False,0,False,0,,False,True,False,True,151,24,"To find the sales tax, multiply the discounted price by the sales tax rate (15% or 0.15).

"
3hop_percentage_chain_0047,error_standard,1,3,wrong_unit,,,,0.48046875,0.7003294825553894,0.2164370589812873,False,0,False,0,,False,True,False,True,142,15,"To find the sales tax, multiply the discounted price by 15%:

"
3hop_percentage_chain_0047,error_verbalized,1,3,wrong_unit,,,,0.356689453125,0.8416271383563677,0.12530176680574234,False,0,False,0,,False,True,False,True,198,24,"Answer: 15% of $1050 = 0.15 × $1050 = $157.50
"
3hop_compound_rate_0018,clean,0,3,,,,,0.383544921875,0.7703069657087326,0.19108045522512151,False,0,False,0,,False,False,False,False,163,20,"To find the time taken for the second leg, we need to divide the distance by the speed.

"
3hop_compound_rate_0018,error_standard,1,3,magnitude_error,,,,0.3974609375,0.8180678004310244,0.15571598382814233,False,0,False,0,,False,False,False,False,159,21,"To find the time taken for the second leg, we need to divide the distance by the speed. 

"
3hop_compound_rate_0018,error_verbalized,1,3,magnitude_error,,,,0.350341796875,0.7228794872760773,0.25961267017624823,False,0,False,0,,False,False,False,False,215,20,"Answer: 30 km / 30 km/h = 1 hour = 60 minutes. 
"
3hop_percentage_chain_0015,clean,0,3,,,,,0.423828125,0.7612449452280998,0.16420352867477914,False,0,False,0,,False,True,False,True,155,24,"To find the sales tax, multiply the discounted price by the sales tax rate (10% or 0.10).

"
3hop_percentage_chain_0015,error_standard,1,3,off_by_one,,,,0.59130859375,0.7195162415504456,0.18871847126898633,False,0,False,0,,False,True,False,True,144,15,"To find the sales tax, multiply the discounted price by 10%:

"
3hop_percentage_chain_0015,error_verbalized,1,3,off_by_one,,,,0.477294921875,0.8113108048072228,0.1394078605206369,False,0,False,0,,False,True,False,True,200,26,"Answer: 10% of $38.50 = 0.10 × $38.50 = $3.85
"
3hop_percentage_chain_0004,clean,0,3,,,,,0.4462890625,0.7494828452666601,0.17424777269068106,False,0,False,0,,False,True,True,False,155,24,"To find the sales tax, multiply the discounted price by the sales tax rate (10% or 0.10).

"
3hop_percentage_chain_0004,error_standard,1,3,wrong_percentage_base,,,,0.51513671875,0.7041569352149963,0.20820120976119832,False,0,False,0,,False,True,True,False,148,15,"To find the sales tax, multiply the discounted price by 10%:

"
3hop_percentage_chain_0004,error_verbalized,1,3,wrong_percentage_base,,,,0.38916015625,0.7631323412060738,0.19846958177888213,False,0,False,0,,False,True,True,False,204,16,"Answer: $30.00 × 10% = $3.00.
"
4hop_nested_fractions_0015,clean,0,4,,,,,0.580078125,0.9353442927201588,0.04838397728387257,False,0,False,0,,False,True,True,False,165,30,"Answer: 3750 × 1/2 = 1875. 1875 of the passing widgets are premium quality.assistant

"
4hop_nested_fractions_0015,error_standard,1,4,off_by_one,,,,0.362060546875,0.8232839095349215,0.15729711846131353,False,0,False,0,,False,True,True,False,165,49,"Answer: 3751 × 1/2 = 1875.5. Since we can't have a fraction of a widget, we'll round down to 1875. 1875 widgets are premium quality.assistant

"
4hop_nested_fractions_0015,error_verbalized,1,4,off_by_one,,,,0.2841796875,0.8226324796676636,0.16616710602121726,False,0,False,0,,False,True,True,False,221,45,"Answer: 3751 × 1/2 = 1875.5. Since we can't have a fraction of a widget, we'll round down to 1875. 1875 widgets are premium quality.
"
2hop_fractions_0003,clean,0,2,,,,,0.51708984375,0.8596780598163605,0.0952248069372909,False,0,False,0,,False,False,False,False,128,26,"To find the fraction of the tart that remains, we need to subtract the number of slices eaten from the total number of slices.

"
2hop_fractions_0003,error_standard,1,2,magnitude_error,,,,0.327880859375,0.688383583839123,0.23633301248855537,False,0,False,0,,False,False,False,False,128,26,"Since 4 people ate 4 slices each, a total of 4 × 4 = 16 slices were eaten. 

"
